roll_no,grade,name,points,school,section,friends,updated_at
445,12,Jose Nolan,87,School 5,Section Section 2,"110, 114, 161, 166, 360, 582, 922, 996",2023-06-21 21:55:16.456189+00:00
446,10,Wade Ebert,32,School 5,Section Section 3,"175, 186, 298, 502, 697, 803, 809, 856",2023-07-13 10:07:20.457561+00:00
447,9,Ottis Torp,9,School 5,Section Section 4,"453, 486, 544, 594, 835, 922, 975",2023-07-25 02:14:31.458921+00:00
448,9,Ottis Torp,46,School 5,Section Section 3,"85, 210, 273, 461, 565, 734, 796, 852, 925",2023-06-30 02:56:46.460394+00:00
449,10,Ana Metz,49,School 5,Section Section 2,"107, 167, 179, 498, 630, 718, 905, 948",2023-06-19 01:52:25.461770+00:00
450,11,Fleta Batz,82,School 5,Section Section 4,"96, 133, 138, 631, 793, 818, 854, 907",2023-05-31 07:09:52.463202+00:00
451,9,Judy Hills,81,School 5,Section Section 2,"85, 108, 129, 203, 283, 513, 703, 736, 789, 826",2023-05-27 09:19:22.464814+00:00
452,11,Dean Lang,62,School 5,Section Section 2,"85, 270, 367, 573, 840, 898, 968",2023-07-15 21:58:41.466194+00:00
453,12,Buck Auer,2,School 5,Section Section 3,"33, 172, 298, 339, 447, 460, 861, 863",2023-06-15 06:52:25.467635+00:00
454,11,Neva Batz,72,School 5,Section Section 3,"34, 236, 252, 396, 508, 576, 966",2023-06-13 01:07:24.469011+00:00
455,10,Rod Cremin,68,School 5,Section Section 3,"122, 146, 365, 625, 633, 760, 773, 979",2023-06-26 19:31:56.470375+00:00
456,11,Eva Hammes,41,School 5,Section Section 2,"47, 89, 151, 417",2023-06-09 09:03:31.471865+00:00
457,10,Fleta Batz,73,School 5,Section Section 4,"224, 325, 366, 528, 742, 758",2023-06-08 19:26:28.473230+00:00
458,11,Vita Price,22,School 5,Section Section 1,"81, 778, 941",2023-06-21 19:43:28.474619+00:00
459,10,Rex Jacobi,9,School 5,Section Section 4,"140, 169, 198, 341, 491, 640, 820, 864, 892, 947, 957",2023-06-23 11:02:15.476188+00:00
460,11,Felipa Von,12,School 5,Section Section 3,"53, 291, 453, 672, 678, 755",2023-06-17 19:03:38.477597+00:00
461,12,Vince Fay,82,School 5,Section Section 4,"17, 381, 448, 658, 760, 792, 799, 977",2023-06-03 06:05:21.478996+00:00
462,9,Mia Mraz,10,School 5,Section Section 3,"104, 160, 219, 494, 588, 617, 834, 892, 939",2023-05-30 04:30:45.480381+00:00
463,9,Zane Runte,94,School 5,Section Section 4,"115, 490, 633, 685, 758, 948",2023-05-28 17:20:19.481757+00:00
464,12,Cora Mills,71,School 5,Section Section 2,"9, 220, 278, 604, 605, 657, 770, 783, 819",2023-07-17 17:32:54.483119+00:00
465,9,Ryley Beer,64,School 5,Section Section 4,"58, 95, 294, 348, 709, 778, 812, 820, 878, 977",2023-07-16 23:31:40.484528+00:00
466,11,Vada Koss,4,School 5,Section Section 4,"29, 124",2023-07-07 13:20:39.486136+00:00
467,10,Elena Lind,19,School 5,Section Section 3,"216, 217, 274, 574, 623, 784, 841",2023-06-10 12:59:22.487802+00:00
468,11,Rae Mills,94,School 5,Section Section 3,"357, 594, 710",2023-06-08 04:57:40.489211+00:00
469,11,Wade Ebert,44,School 5,Section Section 4,"81, 320, 558, 932",2023-07-08 08:56:11.490759+00:00
470,10,Lia Ferry,70,School 5,Section Section 3,"373, 550, 683, 825, 881",2023-07-16 08:10:15.492736+00:00
471,12,Era Heaney,42,School 5,Section Section 1,"167, 235, 695, 739, 976",2023-06-29 08:30:01.494313+00:00
472,9,Avery Batz,85,School 5,Section Section 3,"403, 592, 825, 1000",2023-06-17 13:41:24.495814+00:00
473,11,Josie Rau,84,School 5,Section Section 4,"122, 137, 558, 893, 929",2023-06-16 19:42:40.497279+00:00
474,12,Lura Ortiz,62,School 5,Section Section 1,"159, 261, 298, 590, 666, 716, 923",2023-06-05 07:53:40.498871+00:00
475,10,Velva Lind,88,School 5,Section Section 3,"381, 545, 575, 873, 956, 987",2023-06-18 06:47:09.500336+00:00
476,11,Dixie Beer,22,School 5,Section Section 3,"91, 96, 599, 627, 750, 830, 897, 933",2023-06-22 17:04:47.501791+00:00
477,9,Tom Jacobs,21,School 5,Section Section 4,"61, 220, 244, 315, 420, 421, 686",2023-06-09 09:28:39.503326+00:00
478,10,Vada Koss,48,School 5,Section Section 1,"50, 158, 206, 289, 493, 560, 902, 946, 947",2023-06-05 04:40:48.504688+00:00
479,10,Tom Jacobs,95,School 5,Section Section 4,"273, 386, 530",2023-06-08 19:30:44.506055+00:00
480,11,Tina Smith,70,School 5,Section Section 4,"105, 245, 257, 309, 334, 576, 827, 835, 921, 953",2023-07-09 04:18:26.507587+00:00
481,11,Jan Little,91,School 5,Section Section 1,"137, 768",2023-07-20 02:47:26.508981+00:00
482,12,Lacey Hahn,66,School 5,Section Section 3,"82, 110, 187, 246, 254, 674, 744",2023-07-09 15:32:56.510346+00:00
483,12,Retha Toy,28,School 5,Section Section 4,"133, 349, 416, 647, 851",2023-07-11 06:22:27.512001+00:00
484,10,Kody Morar,16,School 5,Section Section 1,"17, 257, 276, 883",2023-07-04 03:57:04.513556+00:00
485,12,Nakia Hane,15,School 5,Section Section 1,"79, 501, 648, 760, 860",2023-05-29 20:20:08.514923+00:00
486,9,Dovie Jast,20,School 5,Section Section 4,"131, 447, 661, 717, 833, 841, 983",2023-06-14 23:18:56.516290+00:00
487,10,Lia Ferry,49,School 5,Section Section 1,"8, 66, 173, 603, 637, 638, 968",2023-06-06 02:47:07.517655+00:00
488,9,Fleta Batz,0,School 5,Section Section 3,"156, 376, 497, 535, 572, 658",2023-06-26 21:44:58.519214+00:00
489,12,Mia Mraz,40,School 5,Section Section 3,"221, 265, 402, 560, 792, 813, 828",2023-07-25 18:35:39.520596+00:00
490,11,Cale Lang,15,School 5,Section Section 3,"44, 92, 164, 210, 463, 520, 675, 854, 905",2023-07-01 14:01:56.521978+00:00
491,11,Wendy Mohr,47,School 5,Section Section 2,"332, 334, 358, 459, 597, 662",2023-07-04 08:14:52.523406+00:00
492,10,Roel Jones,84,School 5,Section Section 4,"33, 130, 501, 609, 687, 735, 746",2023-05-30 22:59:59.524771+00:00
493,12,Clay Cole,46,School 5,Section Section 3,"76, 200, 395, 478, 595, 861, 960",2023-05-29 09:10:30.526138+00:00
494,12,Buck Auer,39,School 5,Section Section 1,"462, 538, 737, 877, 984",2023-06-04 00:35:10.527588+00:00
495,11,Sim Parker,52,School 5,Section Section 2,"173, 687",2023-06-03 20:31:31.528946+00:00
496,12,Ted Rogahn,88,School 5,Section Section 4,"338, 352, 633, 639, 753, 930",2023-07-02 22:06:23.530329+00:00
497,9,Dena Purdy,59,School 5,Section Section 1,"12, 58, 62, 108, 216, 279, 288, 393, 488, 560, 824",2023-05-30 19:52:22.531832+00:00
498,12,Mara Crona,57,School 5,Section Section 3,"136, 223, 258, 449, 641, 708, 718",2023-06-29 18:52:01.533209+00:00
499,9,Dee Hand,5,School 5,Section Section 1,"536, 681",2023-07-20 14:15:28.534562+00:00
500,12,Aylin Kihn,82,School 5,Section Section 1,"76, 373, 693, 890",2023-05-27 13:11:57.535968+00:00
501,10,Eva Lakin,76,School 6,Section Section 2,"104, 485, 492",2023-07-12 15:54:04.537530+00:00
502,9,Avery Batz,82,School 6,Section Section 3,"110, 376, 446, 647, 666, 820",2023-06-20 03:33:39.539201+00:00
503,9,Guy Ward,87,School 6,Section Section 2,"579, 793, 994",2023-06-23 21:59:10.540588+00:00
504,11,Retha Toy,96,School 6,Section Section 3,"326, 939, 960",2023-06-11 05:42:27.541969+00:00
505,10,Lacey Hahn,34,School 6,Section Section 1,"5, 72, 371, 559, 593, 631, 653, 754, 894",2023-07-10 01:22:31.543703+00:00
506,10,Velva Lind,38,School 6,Section Section 4,"63, 82, 333, 342, 671, 684, 686, 706, 929",2023-07-24 03:05:01.545096+00:00
507,10,Adan Rohan,89,School 6,Section Section 1,"124, 127, 744, 971, 976",2023-06-10 04:11:31.546471+00:00
508,11,Kylee Wolf,14,School 6,Section Section 3,"73, 454, 656, 845, 962",2023-07-08 16:20:42.547899+00:00
509,12,Kira Walsh,31,School 6,Section Section 2,"134, 161, 246, 336, 409, 758",2023-06-10 19:38:37.549286+00:00
510,10,Ari Feeney,32,School 6,Section Section 4,"91, 218, 373, 441, 723, 746, 866, 929",2023-07-25 01:31:28.555376+00:00
511,12,Lloyd Koch,11,School 6,Section Section 2,"240, 293, 379, 426, 577, 657, 696",2023-07-13 15:17:33.556869+00:00
512,10,Arvid Bode,49,School 6,Section Section 4,"172, 315, 654",2023-07-14 16:20:04.558338+00:00
513,10,Lelah Wiza,39,School 6,Section Section 4,"210, 283, 451, 771, 915",2023-07-16 16:07:26.560040+00:00
514,10,Jade Kihn,89,School 6,Section Section 1,"80, 218, 278, 554, 626, 825, 924",2023-07-09 20:59:11.561595+00:00
515,10,Tod Hintz,5,School 6,Section Section 1,"4, 82, 137, 411, 884, 942, 946",2023-06-03 05:48:12.563211+00:00
516,10,Jose Nolan,38,School 6,Section Section 4,"185, 665, 690, 755, 854, 858, 867, 919, 979",2023-07-14 00:27:35.564576+00:00
517,10,Nico Dare,78,School 6,Section Section 3,"64, 167, 670, 818",2023-07-24 09:55:33.566080+00:00
518,12,Alene Hane,71,School 6,Section Section 3,"48, 231, 406, 556, 983",2023-06-25 04:56:28.567573+00:00
519,9,Neva Batz,85,School 6,Section Section 1,"144, 235, 287, 596, 653, 671, 716, 900",2023-06-05 17:17:32.568942+00:00
520,10,Kody Morar,9,School 6,Section Section 1,"52, 69, 490, 746, 783, 853",2023-07-03 13:10:00.570330+00:00
521,10,Ottis Torp,63,School 6,Section Section 1,"94, 171, 240, 755, 843",2023-07-19 10:03:14.572107+00:00
522,9,Cory Roob,26,School 6,Section Section 1,"299, 347, 618, 788",2023-06-13 01:36:48.573474+00:00
523,10,Franz Huel,78,School 6,Section Section 2,"89, 288, 331, 560, 619, 765, 789, 927",2023-07-25 22:16:41.574924+00:00
524,12,Fern Moen,61,School 6,Section Section 4,"191, 293, 361, 624, 662, 666, 739, 789, 888",2023-05-29 15:52:47.576333+00:00
525,11,Fern Moen,17,School 6,Section Section 3,"258, 268, 932",2023-06-27 17:43:55.577700+00:00
526,12,Kacey Mohr,8,School 6,Section Section 2,"142, 178, 199, 277, 351, 718, 749, 769, 804, 855",2023-07-07 23:12:16.579111+00:00
527,9,Mina Feil,54,School 6,Section Section 4,"43, 195, 756",2023-07-24 08:01:28.580694+00:00
528,12,Lura Ortiz,82,School 6,Section Section 4,"276, 379, 457, 610, 683, 911",2023-06-20 05:14:35.582616+00:00
529,9,Lia Ferry,44,School 6,Section Section 1,"162, 188, 236, 624, 695, 912",2023-07-09 04:44:58.584390+00:00
530,10,Vada Koss,11,School 6,Section Section 2,"97, 231, 261, 305, 479, 558, 662, 664",2023-07-09 13:09:35.585951+00:00
531,9,Josie Rau,55,School 6,Section Section 2,"347, 739, 863, 879",2023-06-21 02:04:25.587642+00:00
532,10,Gabe Stamm,32,School 6,Section Section 3,"161, 290, 615, 680",2023-07-21 22:28:50.589303+00:00
533,10,Pat Hirthe,78,School 6,Section Section 2,"106, 195, 294, 747",2023-06-29 23:40:53.590979+00:00
534,9,Eva Lakin,6,School 6,Section Section 3,"46, 187, 253, 591, 615, 960",2023-06-16 09:58:37.592684+00:00
535,11,Lelah Wiza,54,School 6,Section Section 1,"231, 253, 341, 343, 366, 367, 488, 602, 622, 771, 776, 929, 960",2023-06-12 19:47:18.594147+00:00
536,9,Rene Smith,52,School 6,Section Section 1,"6, 205, 382, 432, 499, 583",2023-07-17 12:59:46.595627+00:00
537,10,Mavis Jast,30,School 6,Section Section 3,"215, 606, 641, 718, 733, 877, 945",2023-07-11 23:26:25.597190+00:00
538,9,Dee Rau,85,School 6,Section Section 3,"67, 150, 319, 323, 384, 494, 616, 715, 758, 782, 824, 967",2023-07-21 15:05:21.598618+00:00
539,11,Velva Rowe,21,School 6,Section Section 1,"45, 51, 138, 306, 344, 416, 684, 900, 920",2023-05-26 20:42:11.599990+00:00
540,12,Kacey Mohr,82,School 6,Section Section 2,"175, 270, 924, 965, 966, 992",2023-06-14 13:22:33.601348+00:00
541,9,Judy Hills,69,School 6,Section Section 1,"715, 726, 766",2023-07-23 19:24:48.602757+00:00
542,9,Vidal King,24,School 6,Section Section 2,"52, 545, 633, 883, 901, 912",2023-05-27 21:05:04.604111+00:00
543,11,Neva Batz,18,School 6,Section Section 1,"38, 210, 263, 306, 702, 891, 953",2023-06-26 09:23:08.605480+00:00
544,10,Jan Little,90,School 6,Section Section 2,"201, 447, 667, 922",2023-07-16 15:26:41.606974+00:00
545,12,Luis Haley,85,School 6,Section Section 1,"175, 192, 270, 286, 475, 542, 585, 643, 781, 989",2023-06-29 05:09:19.608324+00:00
546,12,Era Heaney,15,School 6,Section Section 4,"21, 37, 43, 77, 203, 285, 291, 996",2023-07-14 18:16:45.609675+00:00
547,12,Sim Parker,34,School 6,Section Section 2,"2, 37, 88, 148, 195, 628, 803",2023-06-05 02:40:29.611246+00:00
548,9,Lola Purdy,7,School 6,Section Section 3,"138, 251, 343, 386, 628, 631, 800",2023-06-07 05:12:27.612621+00:00
549,10,Tom Jacobs,49,School 6,Section Section 1,"132, 625, 655, 713, 718, 893, 901, 993",2023-07-17 05:00:05.613995+00:00
550,12,Mavis Jast,51,School 6,Section Section 1,"33, 470, 725, 805, 853, 899",2023-06-19 19:31:33.615361+00:00
551,10,Alba Bosco,31,School 6,Section Section 3,"195, 632, 641, 999",2023-07-24 06:53:18.616719+00:00
552,9,Zane Runte,23,School 6,Section Section 2,"253, 264, 319, 426, 611, 677, 810, 935",2023-07-11 23:37:33.618192+00:00
553,10,Dovie Jast,70,School 6,Section Section 2,"32, 178, 204, 858",2023-07-06 20:40:22.619541+00:00
554,10,Niko Bosco,25,School 6,Section Section 3,"170, 425, 514, 596, 641, 929, 994",2023-07-11 08:11:02.620938+00:00
555,10,Lelah Wiza,18,School 6,Section Section 1,"117, 237, 241, 366, 663, 692",2023-06-21 19:20:10.622746+00:00
556,11,Retha Toy,15,School 6,Section Section 1,"70, 518, 661, 671, 739, 889",2023-06-16 22:39:16.624305+00:00
557,12,Janae Mohr,41,School 6,Section Section 1,"78, 222, 375, 629",2023-07-17 16:20:09.625850+00:00
558,12,Elena Lind,64,School 6,Section Section 3,"34, 426, 469, 473, 530, 728",2023-05-28 14:32:08.627217+00:00
559,10,Nova Haag,30,School 6,Section Section 1,"118, 279, 320, 505, 695, 891",2023-06-06 18:58:30.628571+00:00
560,9,Brad Walsh,39,School 6,Section Section 3,"222, 348, 478, 489, 497, 523, 688, 745, 751, 770, 885",2023-07-01 14:39:53.630073+00:00
561,10,Rod Cremin,25,School 6,Section Section 2,"26, 53, 194, 206, 221",2023-06-16 21:17:55.631696+00:00
562,10,Lloyd Koch,36,School 6,Section Section 3,"43, 96, 119, 257, 300, 391, 413, 660",2023-07-24 02:55:13.633051+00:00
563,10,Dee Hand,4,School 6,Section Section 2,"574, 596, 939",2023-07-12 02:44:20.634542+00:00
564,12,Larue Metz,99,School 6,Section Section 1,"27, 90, 154, 178, 712, 871",2023-06-15 08:41:51.636376+00:00
565,12,Pat Hirthe,55,School 6,Section Section 4,"155, 234, 299, 448, 573, 800, 866",2023-07-04 02:28:00.637976+00:00
566,10,Ayden Moen,61,School 6,Section Section 2,"637, 944",2023-06-22 04:33:26.639408+00:00
567,12,Ted Rogahn,54,School 6,Section Section 2,201,2023-06-10 04:05:59.640805+00:00
568,11,Brad Walsh,15,School 6,Section Section 2,"87, 302, 573, 580, 655, 683",2023-07-24 02:55:42.642225+00:00
569,10,Ayden Moen,85,School 6,Section Section 1,"51, 144, 253, 406, 605, 678, 907, 924",2023-06-25 23:56:15.643686+00:00
570,9,Eva Hammes,80,School 6,Section Section 4,"167, 220, 325, 643, 699, 742, 932",2023-07-16 17:59:30.645316+00:00
571,12,Cale Lang,37,School 6,Section Section 3,"14, 255",2023-07-18 12:16:28.646719+00:00
572,10,Vita Price,75,School 6,Section Section 1,"83, 96, 488, 630, 656, 936",2023-07-11 16:19:25.648115+00:00
573,9,Eva Lakin,8,School 6,Section Section 4,"27, 255, 280, 289, 452, 565, 568, 806",2023-07-15 10:57:21.649921+00:00
574,10,Tiana Ward,18,School 6,Section Section 3,"105, 467, 563, 601, 617, 923",2023-07-22 02:32:14.651336+00:00
575,11,Era Heaney,32,School 6,Section Section 1,"475, 695, 976, 989",2023-06-11 06:52:20.652843+00:00
576,12,Vince Fay,82,School 6,Section Section 2,"149, 239, 288, 337, 454, 480, 651, 738, 910, 998",2023-06-09 19:54:03.654312+00:00
577,11,Franz Huel,81,School 6,Section Section 2,"21, 438, 511, 673, 775, 851, 856",2023-06-03 06:36:29.655700+00:00
578,12,Angie Beer,41,School 6,Section Section 1,"16, 306, 321, 705, 712, 915, 980",2023-06-18 13:57:19.657076+00:00
579,10,Jan Little,49,School 6,Section Section 1,"351, 503, 586, 743, 838",2023-06-10 06:01:31.658505+00:00
580,11,Dovie Jast,23,School 6,Section Section 3,"316, 328, 394, 568, 954",2023-07-11 23:13:21.660020+00:00
581,11,Pat Hirthe,32,School 6,Section Section 4,"152, 195, 266, 339, 837",2023-06-01 17:13:22.661379+00:00
582,11,Myra Runte,55,School 6,Section Section 3,"13, 398, 420, 436, 445, 600, 620, 916",2023-07-03 16:33:42.662757+00:00
583,12,Alene Hane,78,School 6,Section Section 2,"10, 205, 361, 536, 629, 928",2023-06-17 14:00:46.664153+00:00
584,11,Bell Walsh,52,School 6,Section Section 4,"173, 248, 315, 342, 696, 859, 946",2023-07-24 04:13:46.665560+00:00
585,12,Alba Bosco,90,School 6,Section Section 1,"97, 246, 372, 413, 545, 779, 814, 874, 954",2023-06-18 00:24:46.667005+00:00
586,11,Rex Jacobi,53,School 6,Section Section 3,"99, 579, 965",2023-07-21 20:44:16.668797+00:00
587,9,Angie Beer,98,School 6,Section Section 4,"158, 171, 253, 270, 286, 728, 849, 865, 886, 942",2023-06-27 23:08:25.670507+00:00
588,9,Roel Jones,92,School 6,Section Section 1,"32, 58, 243, 306, 462, 954",2023-06-09 21:56:47.672036+00:00
589,11,Dena Purdy,63,School 6,Section Section 4,"182, 183, 357, 620, 747, 778, 960",2023-06-17 06:42:58.673688+00:00
590,10,Eva Lakin,34,School 6,Section Section 1,"177, 349, 441, 474, 889",2023-07-03 20:05:09.675126+00:00
591,9,Mina Feil,62,School 6,Section Section 2,"43, 64, 101, 111, 149, 152, 291, 378, 534, 646, 824, 867, 886, 915",2023-06-27 08:07:02.676598+00:00
592,9,Elena Lind,69,School 6,Section Section 4,"203, 210, 397, 472, 735, 742, 778, 870",2023-06-22 22:54:39.678408+00:00
593,10,Janae Mohr,63,School 6,Section Section 2,"335, 387, 505, 634, 692",2023-06-30 01:10:23.679962+00:00
594,12,Retha Toy,1,School 6,Section Section 4,"66, 68, 265, 447, 468, 702, 874, 943, 984",2023-05-27 22:09:53.681758+00:00
595,10,Myra Runte,32,School 6,Section Section 4,"146, 493, 714, 741, 866",2023-06-30 20:02:00.683431+00:00
596,9,Kira Walsh,10,School 6,Section Section 2,"121, 165, 316, 519, 554, 563, 729, 744, 776, 804",2023-06-04 15:35:41.684802+00:00
597,11,Deja Lemke,32,School 6,Section Section 4,"56, 62, 230, 238, 317, 491, 634, 823",2023-06-01 22:09:43.686168+00:00
598,12,Ayden Moen,54,School 6,Section Section 3,"173, 295, 735, 746, 766, 848",2023-07-18 16:13:23.687729+00:00
599,12,Pat Hirthe,15,School 6,Section Section 2,"51, 195, 273, 307, 476, 627, 720",2023-06-11 22:43:29.689527+00:00
600,10,Angie Beer,69,School 6,Section Section 4,"222, 393, 582, 614, 699, 995",2023-06-24 06:53:24.690931+00:00
601,9,Lelah Wiza,62,School 7,Section Section 2,"16, 49, 65, 130, 169, 249, 260, 342, 574",2023-06-04 18:20:26.692313+00:00
602,10,Kale Moen,84,School 7,Section Section 1,"192, 205, 535, 681, 767, 824, 867, 893",2023-07-13 11:51:58.693767+00:00
603,10,Kale Moen,23,School 7,Section Section 2,"274, 302, 487, 682, 727, 758, 783, 911, 991",2023-07-14 16:53:16.695335+00:00
604,10,Nakia Hane,93,School 7,Section Section 2,"71, 154, 368, 464, 825",2023-05-26 17:48:59.696902+00:00
605,10,Janae Mohr,14,School 7,Section Section 1,"55, 464, 569, 669, 758, 997",2023-06-15 22:22:23.698346+00:00
606,12,Wendy Mohr,82,School 7,Section Section 1,"209, 243, 537, 799, 849",2023-05-30 22:21:12.699706+00:00
607,9,Devin Mann,76,School 7,Section Section 1,"42, 151, 226, 258, 918, 961",2023-07-13 17:06:00.701207+00:00
608,11,Judy Hills,30,School 7,Section Section 3,"149, 211, 308, 315, 867, 928, 959",2023-05-28 20:59:12.703166+00:00
609,12,Velva Lind,99,School 7,Section Section 3,"297, 302, 305, 322, 492",2023-07-09 22:48:02.704609+00:00
610,11,Tiana Ward,18,School 7,Section Section 3,"2, 434, 528",2023-06-03 16:55:40.705979+00:00
611,12,Felipa Von,76,School 7,Section Section 1,"552, 750, 991",2023-06-01 21:40:11.707465+00:00
612,12,Dixie Beer,9,School 7,Section Section 2,"101, 154, 177, 227, 258, 263, 622, 885, 917",2023-06-23 06:33:58.708964+00:00
613,11,Jade Kihn,47,School 7,Section Section 2,"410, 443, 647",2023-05-29 02:09:19.710350+00:00
614,11,Kira Walsh,52,School 7,Section Section 3,"116, 399, 600, 777, 848, 987",2023-07-04 17:10:46.711851+00:00
615,9,Tod Hintz,73,School 7,Section Section 4,"166, 268, 323, 328, 361, 532, 534, 824",2023-07-01 19:57:56.713356+00:00
616,10,Luis Haley,87,School 7,Section Section 1,"27, 173, 195, 538, 637, 723, 860, 905, 953",2023-06-06 08:53:18.714735+00:00
617,9,Vita Price,49,School 7,Section Section 1,"103, 135, 402, 462, 574, 686, 734, 910, 921",2023-05-28 22:31:15.716096+00:00
618,12,Niko Bosco,44,School 7,Section Section 1,"255, 259, 276, 522, 651, 765, 858, 923",2023-06-29 23:00:24.717575+00:00
619,9,Angie Beer,76,School 7,Section Section 4,"267, 523, 757, 773, 892, 915",2023-07-18 18:46:12.718928+00:00
620,12,Rene Smith,85,School 7,Section Section 2,"148, 160, 245, 339, 373, 582, 589, 693, 860, 985",2023-06-21 08:36:12.720306+00:00
621,10,Erna Huels,78,School 7,Section Section 1,"57, 260, 334, 647, 833, 938",2023-07-04 10:24:17.721875+00:00
622,11,Dee Rau,9,School 7,Section Section 4,"379, 423, 535, 612",2023-06-12 08:03:03.723290+00:00
623,10,Lelah Wiza,31,School 7,Section Section 4,"355, 467, 831, 892",2023-07-05 03:34:13.724683+00:00
624,11,Jan Little,70,School 7,Section Section 4,"61, 84, 147, 311, 334, 524, 529, 781, 881",2023-06-01 07:04:32.726069+00:00
625,10,Nico Dare,99,School 7,Section Section 3,"152, 455, 549, 674, 882, 969, 988",2023-06-23 04:19:58.727451+00:00
626,9,Dora O'Kon,28,School 7,Section Section 4,"325, 396, 514, 824, 909",2023-07-20 01:55:33.729216+00:00
627,9,Lilla Beer,42,School 7,Section Section 4,"111, 476, 599, 671, 724",2023-07-05 08:33:06.730825+00:00
628,10,Ana Metz,21,School 7,Section Section 2,"44, 343, 351, 547, 548, 821, 971",2023-07-06 17:04:17.732230+00:00
629,10,Angie Beer,27,School 7,Section Section 4,"11, 226, 284, 557, 583, 751, 811, 942",2023-06-20 00:16:56.733794+00:00
630,9,Nico Dare,97,School 7,Section Section 3,"32, 238, 297, 449, 572, 827, 867, 911",2023-07-04 17:49:51.735287+00:00
631,12,Keanu Yost,58,School 7,Section Section 1,"376, 388, 450, 505, 548, 835, 864",2023-07-04 16:56:18.736656+00:00
632,12,Jose Nolan,83,School 7,Section Section 2,"551, 770, 991",2023-05-30 20:14:37.738588+00:00
633,10,Rod Cremin,48,School 7,Section Section 3,"8, 60, 68, 191, 273, 314, 455, 463, 496, 542",2023-07-21 03:22:55.740168+00:00
634,9,Lelah Wiza,7,School 7,Section Section 4,"2, 103, 593, 597",2023-07-18 00:51:35.742145+00:00
635,9,Ana Metz,34,School 7,Section Section 3,"101, 123, 132, 305, 390, 748",2023-06-12 20:20:31.743575+00:00
636,12,Angie Beer,10,School 7,Section Section 1,"153, 317, 340, 359, 390, 847",2023-06-11 10:17:31.744989+00:00
637,11,Vince Fay,67,School 7,Section Section 3,"16, 36, 54, 210, 335, 411, 487, 566, 616, 886",2023-06-16 03:23:25.746502+00:00
638,11,Tom Jacobs,11,School 7,Section Section 1,"21, 137, 247, 292, 487, 661, 738, 958",2023-06-28 01:35:09.747938+00:00
639,10,Lura Ortiz,42,School 7,Section Section 2,"130, 211, 383, 431, 496, 745, 752",2023-06-21 19:17:20.749338+00:00
640,12,Ari Feeney,22,School 7,Section Section 1,"173, 243, 360, 459, 752, 771",2023-07-02 00:08:21.750748+00:00
641,12,Myra Runte,68,School 7,Section Section 3,"18, 78, 114, 329, 340, 344, 498, 537, 551, 554, 814",2023-06-18 12:31:50.752217+00:00
642,10,Angie Beer,86,School 7,Section Section 1,"113, 123, 376, 767, 793, 875, 901",2023-07-17 02:32:37.753606+00:00
643,11,Ottis Torp,0,School 7,Section Section 2,"202, 227, 254, 397, 545, 570, 662, 742, 842",2023-05-28 06:56:53.754956+00:00
644,10,Judy Hills,86,School 7,Section Section 1,"24, 68, 175, 241, 809, 842, 973",2023-07-06 08:55:47.756325+00:00
645,11,Lia Ferry,35,School 7,Section Section 1,"798, 902",2023-07-04 03:04:32.757830+00:00
646,10,Mya Rath,53,School 7,Section Section 3,"134, 347, 591, 965, 995",2023-06-02 15:56:41.759297+00:00
647,12,Roel Jones,50,School 7,Section Section 3,"47, 228, 385, 435, 483, 502, 613, 621, 938",2023-07-22 17:30:20.760899+00:00
648,12,Bell Walsh,76,School 7,Section Section 3,"412, 485, 660, 666, 717",2023-06-24 00:37:37.762497+00:00
649,9,Rex Jacobi,44,School 7,Section Section 3,"67, 112, 269, 328, 351, 725",2023-06-16 15:23:29.764010+00:00
650,11,Sim Parker,4,School 7,Section Section 4,"51, 812, 903",2023-07-14 01:15:07.765514+00:00
651,9,Cale Lang,88,School 7,Section Section 3,"193, 386, 576, 618, 747, 758, 866, 989",2023-05-28 09:05:44.766982+00:00
652,11,Josie Rau,33,School 7,Section Section 2,274,2023-06-06 22:11:57.768674+00:00
653,12,Vita Price,92,School 7,Section Section 4,"53, 505, 519, 703, 887, 969",2023-07-22 15:40:25.770143+00:00
654,12,Deja Lemke,56,School 7,Section Section 3,"272, 306, 310, 512, 767, 916",2023-06-10 01:47:43.771670+00:00
655,10,Luis Haley,65,School 7,Section Section 2,"212, 255, 549, 568, 860",2023-06-07 16:13:30.773234+00:00
656,10,Buck Auer,14,School 7,Section Section 1,"75, 101, 214, 508, 572, 666, 672, 840, 866",2023-06-10 18:58:31.774747+00:00
657,11,Rod Cremin,75,School 7,Section Section 1,"130, 294, 303, 326, 464, 511, 963",2023-06-10 13:05:43.776119+00:00
658,11,Eva Hammes,41,School 7,Section Section 1,"461, 488, 706, 862",2023-06-20 16:57:25.777648+00:00
659,9,Mya Rath,26,School 7,Section Section 3,"196, 326, 669, 678, 762, 768, 896, 955",2023-05-27 23:48:44.779101+00:00
660,9,Erna Huels,43,School 7,Section Section 1,"38, 122, 171, 277, 318, 360, 562, 648, 873, 885, 905",2023-07-24 19:44:10.780651+00:00
661,10,Luis Haley,24,School 7,Section Section 3,"430, 486, 556, 638",2023-07-05 14:50:13.782070+00:00
662,12,Velva Rowe,26,School 7,Section Section 3,"254, 438, 491, 524, 530, 643, 932",2023-06-28 03:08:37.783565+00:00
